Time,TickMS,Phase,Bid,Ask,Spread,Velocity,Acceleration,Mom_Hist,Mom_Macd,Mom_Sig,Flow_MFI,Flow_DUp,Flow_DDown,Ext_VA_Vel,Ext_VA_Acc,Floating_PL,Realized_PL,Action,PosCount,ActiveSL,ActiveTP,DOM_Snapshot
2026.01.27 11:36:22,762,IDLE,1.18697,1.18703,6.2,0.74735,-0.06423,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:36:23,949,IDLE,1.18696,1.18702,6.2,0.76497,0.01761,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:36:24,469,IDLE,1.18697,1.18703,6.2,0.61197,-0.15299,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:36:26,380,IDLE,1.18698,1.18704,6.2,0.55833,-0.05364,-70.56,-20.39,50.16,50.0,0.0,-50.0,100.12,100.26,-32.86,0.0,MimicResearch,1,1.14816,1.21936,1.18698
2026.01.27 11:36:27,76,IDLE,1.18696,1.18702,6.2,0.50211,-0.05622,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:36:28,563,IDLE,1.18695,1.18701,6.2,0.90632,0.4042,-75.98,-26.54,49.44,50.0,0.0,-50.0,100.12,100.26,-35.38,0.0,MimicResearch,1,1.14816,1.21936,1.18695
2026.01.27 11:36:31,94,IDLE,1.18696,1.18703,6.2,0.81004,-0.09628,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:36:31,438,IDLE,1.18698,1.18705,6.3,0.82919,0.01915,-70.56,-20.39,50.16,50.0,0.0,-50.0,100.12,100.26,-32.86,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:36:32,791,IDLE,1.187,1.18707,6.3,0.92371,0.09452,-66.84,-16.2,50.64,50.0,0.0,-50.0,100.13,100.27,-31.17,0.0,MimicResearch,1,1.14816,1.21936,1.187
2026.01.27 11:36:33,610,IDLE,1.18702,1.18708,6.3,1.33018,0.40647,-63.05,-11.93,51.12,50.0,0.0,-50.0,100.13,100.27,-29.49,0.0,MimicResearch,1,1.14816,1.21936,1.18702
2026.01.27 11:36:34,304,IDLE,1.187,1.18706,6.3,1.30069,-0.02949,-66.84,-16.2,50.64,50.0,0.0,-50.0,100.13,100.27,-31.17,0.0,MimicResearch,1,1.14816,1.21936,1.187
2026.01.27 11:36:35,495,IDLE,1.18699,1.18705,6.3,1.36021,0.05952,-68.7,-18.3,50.4,50.0,0.0,-50.0,100.12,100.27,-32.01,0.0,MimicResearch,1,1.14816,1.21936,1.18699
2026.01.27 11:36:37,114,IDLE,1.18697,1.18704,6.3,1.20263,-0.15758,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:36:39,550,IDLE,1.18699,1.18705,6.3,1.17058,-0.03205,-68.7,-18.3,50.4,50.0,0.0,-50.0,100.12,100.27,-32.01,0.0,MimicResearch,1,1.14816,1.21936,1.18699
2026.01.27 11:36:39,879,IDLE,1.18696,1.18703,6.3,1.04984,-0.12074,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:36:40,727,IDLE,1.18698,1.18704,6.3,1.01052,-0.03932,-70.56,-20.39,50.16,50.0,0.0,-50.0,100.12,100.26,-32.86,0.0,MimicResearch,1,1.14816,1.21936,1.18698
2026.01.27 11:36:44,198,IDLE,1.18699,1.18705,6.3,0.85308,-0.15744,-68.7,-18.3,50.4,50.0,0.0,-50.0,100.12,100.27,-32.01,0.0,MimicResearch,1,1.14816,1.21936,1.18699
2026.01.27 11:36:51,349,IDLE,1.18698,1.18704,6.3,0.71043,-0.14265,-70.56,-20.39,50.16,50.0,0.0,-50.0,100.12,100.26,-32.86,0.0,MimicResearch,1,1.14816,1.21936,1.18698
2026.01.27 11:36:55,464,IDLE,1.18694,1.18701,6.3,0.79328,0.08285,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:36:55,983,IDLE,1.18695,1.18702,6.3,0.77233,-0.02095,-75.98,-26.54,49.44,50.0,0.0,-50.0,100.12,100.26,-35.38,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:36:56,480,IDLE,1.18695,1.18701,6.3,0.71658,-0.05575,-75.98,-26.54,49.44,50.0,0.0,-50.0,100.12,100.26,-35.38,0.0,MimicResearch,1,1.14816,1.21936,1.18695
2026.01.27 11:36:59,522,IDLE,1.18696,1.18702,6.3,0.63899,-0.07759,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:36:59,851,IDLE,1.18697,1.18703,6.3,0.62971,-0.00928,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:37:00,533,IDLE,1.18695,1.18702,6.3,0.60287,-0.02683,-75.98,-26.54,49.44,50.0,0.0,-50.0,100.12,100.26,-35.38,0.0,MimicResearch,1,1.14816,1.21936,1.18695
2026.01.27 11:37:00,854,IDLE,1.18696,1.18702,6.3,0.6815,0.07863,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:37:01,505,IDLE,1.18694,1.18701,6.3,0.8475,0.166,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:37:02,215,IDLE,1.18694,1.18701,6.3,0.5424,-0.1356,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:37:02,389,IDLE,1.18696,1.18702,6.3,0.59358,0.05118,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:37:02,492,IDLE,1.18696,1.18702,6.3,0.678,-0.1695,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:37:03,933,IDLE,1.18697,1.18703,6.3,0.61385,0.02027,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:37:04,213,IDLE,1.18694,1.18701,6.4,0.87988,0.26603,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:37:04,406,IDLE,1.18696,1.18702,6.3,0.83922,-0.04066,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:37:08,55,IDLE,1.18694,1.18701,6.4,0.75373,-0.08549,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:37:08,209,IDLE,1.18696,1.18702,6.3,0.60298,-0.15075,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:37:11,313,IDLE,1.18695,1.18702,6.4,0.42564,-0.06609,-75.98,-26.54,49.44,50.0,0.0,-50.0,100.12,100.26,-35.38,0.0,MimicResearch,1,1.14816,1.21936,1.18695
2026.01.27 11:37:11,484,IDLE,1.18694,1.18701,6.4,0.61466,0.01168,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
