Time,TickMS,Phase,MimicMode,Verdict,Bid,Ask,Spread,BidVol,AskVol,Bar_Open,Bar_High,Bar_Low,Bar_Close,RSI,CCI,Velocity,Acceleration,Hybrid_MACD,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Mom_Hist,Balance,Margin,MarginPercent,Floating_PL,Realized_PL,Session_PL,PosCount,LotDir,TotalLots,SLTP_Levels,ActionDetails,LastEvent
2026.02.02 14:52:31,339,ACTIVE_HOLD,0,UNDER_PRESSURE,4792.98000,4793.37000,39.0,100.00,100.00,4788.71000,4793.47000,4786.31000,4792.98000,56.25,21.08,15.33771,-0.87779,-0.78053,12.84,50.00,0.00,-50.00,84.11805,1308602.94,767192.19,162.44,-62398.82,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:31,593,ACTIVE_HOLD,0,UNDER_PRESSURE,4792.97000,4793.36000,39.0,100.00,100.00,4788.71000,4793.47000,4786.31000,4792.97000,56.25,20.99,17.86079,2.52308,-0.78910,12.83,50.00,0.00,-50.00,84.04318,1308602.94,767192.19,162.44,-62398.80,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:31,811,ACTIVE_HOLD,0,UNDER_PRESSURE,4792.98000,4793.37000,39.0,100.00,100.00,4788.71000,4793.47000,4786.31000,4792.98000,56.25,21.08,15.66202,-2.19877,-0.78053,12.84,50.00,0.00,-50.00,84.11805,1308602.94,767192.19,162.44,-62398.82,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:31,37,ACTIVE_HOLD,0,CRASH_RISK,4793.96000,4795.02000,40.3,100.00,100.00,4788.71000,4793.96000,4786.31000,4793.96000,56.90,29.61,35.48749,19.82546,0.05947,13.82,50.00,0.00,-50.00,91.12350,1308602.94,767192.19,162.16,-64555.45,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:31,68,ACTIVE_HOLD,0,CRASH_RISK,4794.56000,4794.95000,40.3,100.00,100.00,4788.71000,4794.56000,4786.31000,4794.56000,57.29,34.74,55.14584,19.65836,0.57376,14.42,50.00,0.00,-50.00,95.06945,1308602.94,767192.19,162.44,-62401.30,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:32,187,ACTIVE_HOLD,0,CRASH_RISK,4794.66000,4795.05000,40.3,0.00,0.00,4788.71000,4794.66000,4786.31000,4794.66000,57.36,35.58,76.90981,21.76397,0.65947,14.52,50.00,0.00,-50.00,95.70065,1308602.94,767192.19,162.44,-62401.58,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:32,351,ACTIVE_HOLD,0,CRASH_RISK,4794.76000,4795.15000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4794.76000,57.42,36.43,96.36151,19.45170,0.74519,14.62,50.00,0.00,-50.00,96.32418,1308602.94,767192.19,162.44,-62401.84,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:32,523,ACTIVE_HOLD,0,CRASH_RISK,4794.44000,4794.83000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4794.44000,57.22,33.72,101.62702,5.26551,0.47090,14.30,50.00,0.00,-50.00,94.30194,1308602.94,767192.19,162.44,-62400.22,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:32,729,ACTIVE_HOLD,0,CRASH_RISK,4794.45000,4794.84000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4794.45000,57.22,33.80,107.28933,5.66230,0.47947,14.31,50.00,0.00,-50.00,94.36632,1308602.94,767192.19,162.44,-62401.21,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:32,909,ACTIVE_HOLD,0,CRASH_RISK,4794.08000,4794.47000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4794.08000,56.98,30.64,106.01495,-1.27438,0.16233,13.94,50.00,0.00,-50.00,91.93420,1308602.94,767192.19,162.44,-62400.21,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
